Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
3036,00:02:06.626,6.8717895465559025,4.812045690550363,11.733644859813085,4.069678089304258
3037,00:02:06.668,6.8218068535825545,5.334839044652129,11.135150571131879,3.995430944963655
3038,00:02:06.710,7.910730356524749,7.2699376947040495,13.266303219106957,3.19595015576324
3039,00:02:06.752,8.659397715472481,9.571858774662513,12.954153686396676,3.4521806853582553
3040,00:02:06.793,7.4754240221529935,6.3490654205607475,13.242731048805815,2.8344755970924194
3041,00:02:06.835,6.985340948425061,5.342367601246106,12.906542056074766,2.7071131879543096
3042,00:02:06.877,7.214935964001384,5.859034267912772,12.852440290758048,2.933333333333333
3043,00:02:06.918,6.07772585669782,3.7545171339563863,12.024714434060229,2.4539460020768433
3044,00:02:06.960,6.038594669435791,3.9079439252336448,11.655192107995846,2.5526479750778814
3045,00:02:07.002,5.379456559363102,2.3301142263759087,11.534735202492211,2.2735202492211837
3046,00:02:07.044,5.2686050536517826,2.102907580477674,11.19963655244029,2.5032710280373833
3047,00:02:07.085,5.5945309795777085,3.839667705088266,10.700882658359294,2.243042575285566
3048,00:02:07.127,5.875077881619938,4.204880581516096,10.997819314641745,2.422533748701973
3049,00:02:07.169,4.488577362409138,1.8302180685358256,9.577570093457943,2.0579439252336447
3050,00:02:07.210,5.038715818622361,2.3407580477673937,10.28478712357217,2.490602284527518
3051,00:02:07.252,2.800865351332641,0.9032191069574247,5.912357217030114,1.5870197300103843
3052,00:02:07.294,3.2298546209761163,1.5833333333333333,6.14190031152648,1.9643302180685358
3053,00:02:07.336,2.665489788854275,0.5203011422637591,5.898130841121495,1.57803738317757
3054,00:02:07.377,3.0450674974039464,1.2014018691588786,6.050830737279336,1.8829698857736241
3055,00:02:07.419,3.2380062305295954,1.2419522326064383,6.383592938733126,2.088473520249221
3056,00:02:07.461,2.870508826583593,0.7665109034267913,6.142159916926272,1.7028556593977155
3057,00:02:07.502,2.9405849775008654,1.0792834890965732,5.884475597092419,1.8579958463136033
3058,00:02:07.544,2.9766528210453447,0.9453790238836968,6.177777777777778,1.8068016614745586
3059,00:02:07.586,2.9028556593977157,0.8895638629283489,5.980789200415368,1.838213914849429
3060,00:02:07.627,3.2289892696434754,1.2796469366562824,6.177725856697819,2.229595015576324
3061,00:02:07.669,3.145361716857044,1.2262201453790238,6.255867082035306,1.9539979231568017
3062,00:02:07.711,3.027431637244721,0.9523364485981308,6.214901349948079,1.9150571131879544
3063,00:02:07.753,3.3656109380408448,1.5631360332294912,6.19865005192108,2.3350467289719625
3064,00:02:07.794,6.749550017307027,7.93447559709242,8.00134994807892,4.312824506749741
3065,00:02:07.836,3.0039806161301486,0.8228452751817238,6.834839044652129,1.3542575285565939
3066,00:02:07.878,2.926185531325718,1.0307892004153687,6.305192107995846,1.4425752855659397
3067,00:02:07.919,2.92239529248875,0.8740913811007269,6.461059190031152,1.4320353063343718
3068,00:02:07.961,3.042540671512634,1.1495846313603324,6.437746625129803,1.5402907580477674
3069,00:02:08.003,2.925493250259605,0.7748182762201454,6.556801661474559,1.4448598130841122
3070,00:02:08.045,2.8155590169608864,0.7741952232606438,6.184008307372793,1.4884735202492212
3071,00:02:08.086,3.160453444098304,1.2768431983385253,6.48380062305296,1.7207165109034268
3072,00:02:08.128,2.704188300449983,0.5602803738317756,6.209968847352025,1.3423156801661476
3073,00:02:08.170,3.0610418830044996,1.3573727933541018,6.217185877466251,1.6085669781931464
3074,00:02:08.211,2.6254759432329524,0.7394080996884735,5.8898753894080995,1.2471443406022846
3075,00:02:08.253,3.1431637244721355,1.4271028037383178,6.272949117341641,1.7294392523364486
3076,00:02:08.295,2.8453444098303913,0.8270508826583592,6.177881619937695,1.5311007268951193
3077,00:02:08.337,2.92533748701973,1.1174974039460022,6.015057113187955,1.6434579439252337
3078,00:02:08.378,76.13547940463829,24.569366562824506,170.15332294911735,33.683748701973
3079,00:02:08.420,0.5495846313603323,0.15711318795430945,1.0541017653167186,0.43753894080996886
3080,00:02:08.462,1.092471443406023,0.28286604361370715,2.198078920041537,0.7964693665628245
3081,00:02:08.503,1.24932502596054,0.4030633437175493,1.9478193146417446,1.397092419522326
3082,00:02:08.545,1.11092073381793,0.2968847352024922,1.841484942886812,1.194392523364486
3083,00:02:08.587,1.2590688819660782,0.49200415368639666,2.0665628245067498,1.2186396677050884
3084,00:02:08.629,1.2040844582900656,0.5022326064382139,2.204932502596054,0.9050882658359294
3085,00:02:08.670,0.9349948078920042,0.2525441329179647,1.6919522326064382,0.8604880581516096
3086,00:02:08.712,1.0134648667358948,0.3346313603322949,1.861318795430945,0.8444444444444444
3087,00:02:08.754,1.2361543786777431,0.4640706126687435,2.1144340602284526,1.1299584631360333
3088,00:02:08.795,1.207822776047075,0.3838006230529595,2.1536863966770508,1.0859813084112149
3089,00:02:08.837,1.3198338525441329,0.5506230529595015,1.9974558670820353,1.4114226375908618
3090,00:02:08.879,0.9798373139494635,0.2968847352024922,1.7937694704049845,0.8488577362409138
